custFirstName,custLastName,custPhone,custGender,driverFirstName,driverLastName,driverPhone,driverLicense,driverGender,carModel,carPlate,carColor,carType,carAvailable,startPoint,endPoint,distance,orderStatus,totalPrice,orderDate,reviewRating,reviewComment
"Serhii","Lysenko","+380842701223","female","Kateryna","Kravchenko","+380828383849","DL509159","female","Hyundai Sonata","AM 1855 II-0","Green","Luxury","true","Mykolaiv, Valova St, 49","Mykolaiv, Khmelnitskoho St, 48","8.13","SCHEDULED","67.93","2026-02-20","5","Could be better"
"Mykola","Kravchenko","+380941260201","prefer not to say","Nataliia","Boyko","+380852120832","DL745856","other","Toyota Camry","AX 6235 BB-1","Dark Blue","Sedan","true","Odesa, Sichovykh Striltsiv St, 61","Odesa, Kulparkivska St, 145","14.88","IN_PROGRESS","10.50","2026-03-17","5","Bad smell in cabin"
"Alina","Goncharenko","+380735039090","male","Viktor","Polishchuk","+380948478950","DL142094","other","Kia Optima","BH 6638 HT-2","Orange","Luxury","true","Odesa, Vasylkivska St, 120","Odesa, Stryiska St, 118","7.75","PENDING","41.26","2025-12-31","2","Highly recommend"
"Iryna","Zaitsev","+380987710864","prefer not to say","Mariia","Melnyk","+380761381625","DL879984","other","Honda Accord","AA 4249 AA-3","Brown","SUV","true","Ternopil, Bandery St, 72","Ternopil, Pekarska St, 107","10.20","COMPLETED","62.40","2026-01-03","5","Car was uncomfortable"
"Iryna","Fedorov","+380822324332","female","Mariia","Kovalenko","+380808467819","DL739995","male","Skoda Octavia","AM 7438 II-4","Brown","SUV","true","Lviv, Khmelnitskoho St, 46","Lviv, Vasylkivska St, 122","10.93","IN_PROGRESS","105.40","2026-01-07","2","Highly recommend"
"Dmytro","Oliinyk","+380682755061","male","Yevhen","Kushnir","+380843292190","DL407009","other","Volkswagen Passat","AB 2777 BB-5","Black","SUV","false","Zaporizhzhia, Chornovola Ave, 53","Zaporizhzhia, Naukova St, 142","5.70","IN_PROGRESS","86.11","2026-01-05","4","Very clean car"
"Mykola","Lysenko","+380772007940","prefer not to say","Olena","Melnyk","+380984688710","DL606285","other","Audi A4","AX 8393 II-6","Brown","Sedan","true","Uzhhorod, Bandery St, 31","Uzhhorod, Horodotska St, 69","5.60","IN_PROGRESS","74.05","2026-03-04","3","Bad smell in cabin"
"Serhii","Bondarenko","+380677339420","female","Mykola","Boyko","+380668368365","DL131566","male","Kia Optima","BB 9776 II-7","Dark Blue","SUV","false","Mykolaiv, Chornovola Ave, 3","Mykolaiv, Sichovykh Striltsiv St, 56","4.72","IN_PROGRESS","80.33","2026-01-22","5","Amazing experience"
"Oksana","Oliinyk","+380688762152","female","Ivan","Bondarenko","+380818951016","DL376467","female","BMW 5 Series","AA 1760 II-8","Grey","Hatchback","true","Ternopil, Naukova St, 29","Ternopil, Khmelnitskoho St, 112","5.10","COMPLETED","87.74","2026-02-05","1","Car was uncomfortable"
"Oksana","Zaitsev","+380811183612","prefer not to say","Oksana","Lysenko","+380994463110","DL942516","male","Mercedes-Benz C-Class","BB 6475 BB-9","Orange","Luxury","true","Kyiv, Lychakivska St, 89","Kyiv, Zelena St, 79","1.07","CANCELLED","67.06","2026-01-22","3","Bad smell in cabin"
"Andrii","Lysenko","+380997934456","other","Kateryna","Khmelyov","+380975773781","DL656149","prefer not to say","Kia Optima","BA 8857 AA-10","Yellow","Luxury","true","Chernivtsi, Lychakivska St, 129","Chernivtsi, Bandery St, 20","11.57","COMPLETED","15.71","2026-02-11","1","Amazing experience"
"Iryna","Zaitsev","+380742274951","other","Iryna","Goncharenko","+380857465222","DL428036","other","Subaru Legacy","AE 9045 BB-11","Green","Luxury","true","Lutsk, Sichovykh Striltsiv St, 78","Lutsk, Shevchenka St, 23","9.50","SCHEDULED","89.03","2026-03-08","5","Driver was late"
"Anna","Dovzhenko","+380971245356","prefer not to say","Pavlo","Polishchuk","+380872659682","DL690456","male","Renault Megane","BC 3330 II-12","Grey","Sedan","true","Kyiv, Lychakivska St, 54","Kyiv, Sichovykh Striltsiv St, 94","2.63","FAILED","44.18","2026-02-08","5","Driver was late"
"Olena","Kushnir","+380919846969","prefer not to say","Anna","Bondarenko","+380942040407","DL163605","prefer not to say","Tesla Model 3","BM 1271 AA-13","Red","Hatchback","true","Ternopil, Sichovykh Striltsiv St, 50","Ternopil, Sichovykh Striltsiv St, 99","3.91","FAILED","16.75","2026-01-05","3","Amazing experience"
"Kateryna","Hrytsenko","+380636594317","prefer not to say","Mykola","Dovzhenko","+380842226364","DL667616","male","Hyundai Sonata","BA 2735 HT-14","Brown","SUV","true","Zaporizhzhia, Pekarska St, 11","Zaporizhzhia, Sichovykh Striltsiv St, 132","1.20","IN_PROGRESS","49.32","2026-02-26","1","Could be better"
"Andrii","Kravchenko","+380683958179","female","Pavlo","Dovzhenko","+380784132279","DL322742","male","BMW 5 Series","BB 2654 AA-15","Dark Blue","Hatchback","true","Dnipro, Valova St, 139","Dnipro, Horodotska St, 138","13.71","REJECTED","22.88","2026-02-06","2","Could be better"
"Pavlo","Goncharenko","+380816298837","male","Svitlana","Fedorov","+380745122120","DL250610","prefer not to say","Nissan Altima","AO 6610 AA-16","Silver","Luxury","true","Lviv, Shevchenka St, 44","Lviv, Khmelnitskoho St, 142","8.58","REJECTED","19.86","2026-01-10","3","Driver was rude"
"Dmytro","Lysenko","+380886741190","other","Olena","Fedorov","+380961486347","DL909953","other","Kia Optima","AP 3832 BB-17","White","SUV","false","Kherson, Bandery St, 27","Kherson, Khmelnitskoho St, 94","1.73","FAILED","33.29","2026-03-11","1","Very clean car"
"Pavlo","Boyko","+380771659074","prefer not to say","Olena","Khmelyov","+380883539400","DL683458","female","Mazda 6","BA 7022 BB-18","White","Sedan","true","Chernivtsi, Bandery St, 124","Chernivtsi, Shevchenka St, 25","2.70","CANCELLED","92.12","2026-03-20","5","Highly recommend"
"Oleksandr","Bondarenko","+380804694717","male","Oleksandr","Khmelyov","+380998105411","DL488280","female","Subaru Legacy","BB 9967 II-19","Yellow","SUV","false","Uzhhorod, Bandery St, 56","Uzhhorod, Lychakivska St, 74","6.92","PENDING","75.24","2026-01-07","1","Polite driver"
"Andrii","Melnyk","+380739839680","prefer not to say","Kateryna","Kovalenko","+380885412303","DL440341","prefer not to say","Audi A4","BB 6288 HT-20","Yellow","Luxury","false","Vinnytsia, Pekarska St, 150","Vinnytsia, Franka St, 50","2.20","REJECTED","21.08","2026-03-07","5","Not recommended"
"Mykola","Marchenko","+380978158521","prefer not to say","Viktor","Kovalenko","+380737269849","DL714667","prefer not to say","Skoda Octavia","BA 1570 AA-21","Red","Luxury","false","Zaporizhzhia, Valova St, 38","Zaporizhzhia, Bandery St, 84","12.85","CANCELLED","88.80","2026-03-23","5","Polite driver"
